lon,lat,period,zone
35.69719702,32.73407872,Early Pliocene,1
35.69652917,32.73635057,Early Pliocene,1
35.69626673,32.73815945,Early Pliocene,1
35.69612608,32.7408508,Early Pliocene,1
35.69592674,32.74261308,Early Pliocene,1
35.69529071,32.74484088,Early Pliocene,1
35.69552803,32.74758196,Early Pliocene,1
35.69519558,32.7494384,Early Pliocene,1
35.69486248,32.75129833,Early Pliocene,1
35.69405868,32.75365768,Early Pliocene,1
35.69273786,32.75606033,Early Pliocene,1
35.69132628,32.75754955,Early Pliocene,1
35.690435,32.75899524,Early Pliocene,1
35.68974575,32.76075416,Early Pliocene,1
35.6901143,32.76240279,Early Pliocene,1
35.69196601,32.76348406,Early Pliocene,1
35.6941577,32.76369342,Early Pliocene,1
35.69687235,32.76385245,Early Pliocene,1
35.69862159,32.76452017,Early Pliocene,1
35.70185441,32.76462847,Early Pliocene,1
35.70394081,32.76444345,Early Pliocene,1
35.70559224,32.7647094,Early Pliocene,1
35.70939609,32.76468797,Early Pliocene,1
35.71212823,32.76478704,Early Pliocene,1
35.71476797,32.76449178,Early Pliocene,1
35.71744833,32.76466527,Early Pliocene,1
35.71960374,32.76489201,Early Pliocene,1
35.7217586,32.76511864,Early Pliocene,1
35.7238536,32.7649051,Early Pliocene,1
35.72699472,32.76458488,Early Pliocene,1
35.72908311,32.76438749,Early Pliocene,1
35.73064854,32.7642436,Early Pliocene,1
35.73378085,32.76395563,Early Pliocene,1
35.73516854,32.76248929,Early Pliocene,1
35.73475817,32.7593767,Early Pliocene,1
35.73255527,32.75868175,Early Pliocene,1
35.73090897,32.75845864,Early Pliocene,1
35.72820772,32.75835348,Early Pliocene,1
35.72509168,32.75859747,Early Pliocene,1
35.72252281,32.75875424,Early Pliocene,1
35.72039925,32.75902921,Early Pliocene,1
35.71769297,32.75890509,Early Pliocene,1
35.71502197,32.75924998,Early Pliocene,1
35.71378723,32.75751262,Early Pliocene,1
35.71311006,32.75568624,Early Pliocene,1
35.71293176,32.75437281,Early Pliocene,1
35.71421654,32.75200902,Early Pliocene,1
35.71560735,32.75053814,Early Pliocene,1
35.71704361,32.74952391,Early Pliocene,1
35.71894716,32.74801381,Early Pliocene,1
35.72091572,32.74693336,Early Pliocene,1
35.7234171,32.74631986,Early Pliocene,1
35.72598541,32.74614919,Early Pliocene,1
35.72822352,32.74734677,Early Pliocene,1
35.72937672,32.74816525,Early Pliocene,1
35.73215389,32.74932192,Early Pliocene,1
35.7333897,32.75054116,Early Pliocene,1
35.73568341,32.75163713,Early Pliocene,1
35.73738701,32.75234843,Early Pliocene,1
35.7397396,32.75386706,Early Pliocene,1
35.74091445,32.75462539,Early Pliocene,1
35.74332245,32.75656703,Early Pliocene,1
35.74507946,32.7577008,Early Pliocene,1
35.74735865,32.75878461,Early Pliocene,1
35.74852717,32.75953874,Early Pliocene,1
35.75133552,32.7606585,Early Pliocene,1
35.75308641,32.76178589,Early Pliocene,1
35.755891,32.76285261,Early Pliocene,1
35.75811406,32.76354435,Early Pliocene,1
35.76039001,32.76464049,Early Pliocene,1
35.76261473,32.76533277,Early Pliocene,1
35.76373937,32.76571618,Early Pliocene,1
35.76681306,32.76833579,Early Pliocene,1
35.76863291,32.76965263,Early Pliocene,1
35.76998597,32.77173629,Early Pliocene,1
35.77124676,32.77329951,Early Pliocene,1
35.77320396,32.77581484,Early Pliocene,1
35.77394715,32.77745994,Early Pliocene,1
35.77538189,32.77974373,Early Pliocene,1
35.77845725,32.78477383,Early Pliocene,1
35.77759792,32.78657285,Early Pliocene,1
35.77669006,32.78795011,Early Pliocene,1
35.77588529,32.79015798,Early Pliocene,1
35.7754075,32.79063581,Early Pliocene,1
35.77480823,32.7944856,Early Pliocene,1
35.77442642,32.79576124,Early Pliocene,1
35.77413747,32.79807463,Early Pliocene,1
35.77441114,32.80018176,Early Pliocene,1
35.77571772,32.80186937,Early Pliocene,1
35.77789036,32.80211265,Early Pliocene,1
35.77947405,32.80196349,Early Pliocene,1
35.78198309,32.80081077,Early Pliocene,1
35.78480029,32.79790152,Early Pliocene,1
